Dataset_ID,Buyer_ID,Product_ID,Recommended,Clicked,Viewed,Purchased,Ignored,Hidden,Feedback,Ground_Truth,Scenario_Type,Confidence_Score,Created_Date,Version
FB000107,BYR000199,PRD000496,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,RARE,0.74,2026-05-26,v1.0
FB000108,BYR000921,PRD001323,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.74,2026-06-29,v1.0
FB000109,BYR000962,PRD002076,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,EDGE,0.66,2026-06-03,v1.0
FB000110,BYR000644,PRD001555,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.71,2026-06-27,v1.0
FB000111,BYR000720,PRD001986,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.89,2026-06-12,v1.0
FB000112,BYR000416,PRD000916,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.5,2026-06-10,v1.0
FB000113,BYR000406,PRD002840,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,RARE,0.6,2026-07-10,v1.0
FB000114,BYR000502,PRD000406,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.81,2026-06-11,v1.0
FB000115,BYR000341,PRD000200,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.58,2026-06-27,v1.0
FB000116,BYR000488,PRD002328,Yes,No,Yes,No,No,No,Not my style,Neutral,RARE,0.83,2026-06-16,v1.0
FB000117,BYR000657,PRD000920,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.69,2026-06-13,v1.0
FB000118,BYR000949,PRD001011,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,BOUNDARY,0.69,2026-07-31,v1.0
FB000119,BYR000200,PRD000629,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,EDGE,0.75,2026-05-08,v1.0
FB000120,BYR000110,PRD001144,Yes,No,No,No,Yes,Yes,Not interested,Negative,NORMAL,0.97,2026-07-17,v1.0
FB000121,BYR000015,PRD001939,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.95,2026-07-07,v1.0
FB000122,BYR000538,PRD001042,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.73,2026-06-03,v1.0
FB000123,BYR000269,PRD002739,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.94,2026-06-07,v1.0
FB000124,BYR000721,PRD002349,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.99,2026-07-01,v1.0
FB000125,BYR000100,PRD001748,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.81,2026-08-03,v1.0
FB000126,BYR000393,PRD000568,Yes,No,No,No,Yes,No,Not interested,Negative,BOUNDARY,0.53,2026-08-04,v1.0
FB000127,BYR000519,PRD001618,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.61,2026-06-06,v1.0
FB000128,BYR000935,PRD001678,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.55,2026-05-23,v1.0
FB000129,BYR000342,PRD002386,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.79,2026-05-31,v1.0
FB000130,BYR000125,PRD001574,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NEGATIVE,0.7,2026-05-12,v1.0
FB000131,BYR000340,PRD001968,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.65,2026-07-02,v1.0
FB000132,BYR000297,PRD002882,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.56,2026-05-28,v1.0
FB000133,BYR000562,PRD000713,Yes,No,No,No,Yes,Yes,Already purchased elsewhere,Negative,EDGE,0.93,2026-05-21,v1.0
FB000134,BYR000715,PRD000340,Yes,Yes,Yes,Yes,No,No,Great match! ⭐⭐⭐⭐⭐,Positive,NORMAL,0.87,2026-08-04,v1.0
FB000135,BYR000245,PRD001112,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.63,2026-06-22,v1.0
FB000136,BYR000587,PRD000589,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,EDGE,0.93,2026-07-12,v1.0
FB000137,BYR000602,PRD000733,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.82,2026-07-11,v1.0
FB000138,BYR000817,PRD001084,Yes,Yes,Yes,Yes,No,No,"Perfect timing, needed this",Positive,BOUNDARY,0.93,2026-08-03,v1.0
FB000139,BYR000510,PRD001655,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,BOUNDARY,0.56,2026-05-17,v1.0
FB000140,BYR000445,PRD001497,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.51,2026-06-08,v1.0
FB000141,BYR000180,PRD000863,Yes,No,Yes,No,No,No,Not my style,Neutral,COLD_START,0.85,2026-06-12,v1.0
FB000142,BYR000199,PRD002788,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,RARE,0.99,2026-07-25,v1.0
FB000143,BYR000586,PRD002576,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.67,2026-06-18,v1.0
FB000144,BYR000955,PRD002849,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.55,2026-07-20,v1.0
FB000145,BYR000132,PRD002397,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.75,2026-06-24,v1.0
FB000146,BYR000264,PRD002984,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,BOUNDARY,0.67,2026-06-11,v1.0
FB000147,BYR000621,PRD002204,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.64,2026-07-06,v1.0
FB000148,BYR000210,PRD000149,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.95,2026-06-16,v1.0
FB000149,BYR000725,PRD000771,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.77,2026-05-14,v1.0
FB000150,BYR000426,PRD000009,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.64,2026-07-30,v1.0
FB000151,BYR000049,PRD002773,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.53,2026-06-28,v1.0
FB000152,BYR000230,PRD001474,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NEGATIVE,0.56,2026-05-25,v1.0
FB000153,BYR000185,PRD001701,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,BOUNDARY,0.89,2026-07-04,v1.0
FB000154,BYR000695,PRD001388,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.71,2026-07-28,v1.0
FB000155,BYR000597,PRD001823,Yes,No,No,No,Yes,No,Not interested,Negative,BOUNDARY,0.79,2026-05-31,v1.0
FB000156,BYR000204,PRD001094,Yes,No,No,No,Yes,No,Not interested,Negative,BOUNDARY,0.79,2026-05-17,v1.0
FB000157,BYR000015,PRD002003,Yes,No,No,No,Yes,Yes,Already purchased elsewhere,Negative,NORMAL,0.67,2026-08-01,v1.0
FB000158,BYR000471,PRD000326,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.58,2026-05-28,v1.0
FB000159,BYR000039,PRD001599,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.61,2026-07-24,v1.0
FB000160,BYR000521,PRD002484,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.7,2026-06-09,v1.0
FB000161,BYR000587,PRD001609,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,COLD_START,0.66,2026-08-05,v1.0
FB000162,BYR000256,PRD002659,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,EDGE,0.89,2026-05-31,v1.0
FB000163,BYR000364,PRD001198,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.87,2026-05-23,v1.0
FB000164,BYR000488,PRD001869,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.91,2026-05-18,v1.0
FB000165,BYR000401,PRD000271,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.51,2026-06-27,v1.0
FB000166,BYR000302,PRD001871,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.69,2026-07-23,v1.0
FB000167,BYR000387,PRD002630,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.75,2026-06-19,v1.0
FB000168,BYR000992,PRD000144,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.99,2026-06-27,v1.0
FB000169,BYR000081,PRD001241,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.8,2026-07-16,v1.0
FB000170,BYR000527,PRD002723,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.66,2026-06-24,v1.0
FB000171,BYR000008,PRD000134,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.65,2026-05-25,v1.0
FB000172,BYR000269,PRD001993,Yes,Yes,Yes,Yes,No,No,Clicked and purchased,Positive,NEGATIVE,0.52,2026-06-18,v1.0
FB000173,BYR000426,PRD001967,Yes,No,No,No,Yes,No,Not interested,Negative,BOUNDARY,0.79,2026-07-02,v1.0
FB000174,BYR000519,PRD001419,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.95,2026-06-25,v1.0
FB000175,BYR000984,PRD000814,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.57,2026-06-19,v1.0
FB000176,BYR000693,PRD000904,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.9,2026-06-15,v1.0
FB000177,BYR000015,PRD002058,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,0.57,2026-05-13,v1.0
FB000178,BYR000160,PRD002499,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.59,2026-06-02,v1.0
FB000179,BYR000559,PRD001804,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.76,2026-05-24,v1.0
FB000180,BYR000692,PRD002656,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.54,2026-07-25,v1.0
FB000181,BYR000841,PRD002254,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.89,2026-06-02,v1.0
FB000182,BYR000174,PRD001775,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,0.61,2026-07-13,v1.0
FB000183,BYR000436,PRD001991,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.7,2026-07-02,v1.0
FB000184,BYR000694,PRD002291,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.64,2026-06-07,v1.0
FB000185,BYR000731,PRD001940,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.6,2026-06-30,v1.0
FB000186,BYR000631,PRD001415,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.76,2026-05-22,v1.0
FB000187,BYR000901,PRD002517,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.85,2026-05-28,v1.0
FB000188,BYR000297,PRD001945,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.7,2026-07-06,v1.0
FB000189,BYR000571,PRD001791,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.84,2026-05-12,v1.0
FB000190,BYR000777,PRD002273,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.59,2026-06-18,v1.0
FB000191,BYR000611,PRD000989,Yes,No,No,No,Yes,No,Not interested,Negative,COLD_START,0.77,2026-07-08,v1.0
FB000192,BYR000884,PRD002428,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.54,2026-08-05,v1.0
FB000193,BYR000269,PRD001833,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.72,2026-08-06,v1.0
FB000194,BYR000244,PRD000712,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,EDGE,0.86,2026-06-15,v1.0
FB000195,BYR000745,PRD001318,Yes,Yes,Yes,Yes,No,No,"Perfect timing, needed this",Positive,RARE,0.72,2026-05-27,v1.0
FB000196,BYR000162,PRD001638,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.94,2026-06-20,v1.0
FB000197,BYR000208,PRD000960,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,1.0,2026-06-08,v1.0
FB000198,BYR000997,PRD002324,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.85,2026-08-06,v1.0
FB000199,BYR000643,PRD002244,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.54,2026-06-24,v1.0
